product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Pro-Weave Hood / Ivory / XS,10917,060f02b1-c83d-11e7-e913-04fc82256883,18.5,2,4,2,37.0,2017-07-18 16:39:20
H Long Sleeve Victory Tee / S / Ivory,10932,060f02b1-c83d-11e7-e913-20794f740d42,10.3,2,3,1,10.3,2017-07-18 16:39:21
H Long Sleeve Victory Tee / S / Ivory,10932,060f02b1-c83d-11e7-e913-20794f740d42,10.3,3,4,1,10.3,2017-07-18 16:39:22
H Long Sleeve Victory Tee / M / Ivory,10933,060f02b1-c83d-11e7-e913-20794fc52be6,10.3,3,5,2,20.6,2017-07-18 16:39:22
Havard Ladies Crest TriBlend / Oxford / XS,10978,060f02b1-c83d-11e7-e913-30b99ce86693,5.72,2,1,-1,-5.72,2017-07-18 16:39:23
Havard Ladies Crest TriBlend / Oxford / S,10979,060f02b1-c83d-11e7-e913-30b99d45e4d9,5.72,1,2,1,5.72,2017-07-18 16:39:24
Havard Ladies Crest TriBlend / Oxford / M,10980,060f02b1-c83d-11e7-e913-30b99d90c51e,5.72,1,3,2,11.44,2017-07-18 16:39:24
Havard Ladies Crest TriBlend / Oxford / L,10981,060f02b1-c83d-11e7-e913-30b99deded70,5.72,2,3,1,5.72,2017-07-18 16:39:25
Havard Ladies Crest TriBlend / Oxford / XL,10982,060f02b1-c83d-11e7-e913-30b99e50c066,5.72,2,3,1,5.72,2017-07-18 16:39:25
Harvard Ladies Designer Tee  / White / L,10986,060f02b1-c83d-11e7-e913-30ba9815e0fd,5.72,3,4,1,5.72,2017-07-18 16:39:26
Harvard Wooden Dorm Sign,10995,060f02b1-c83d-11e7-e913-30bc1e27f0f9,7.22,4,4,0,0.0,2017-07-18 16:39:27
Harvard Felt Pennant Magnet / Crimson,10999,060f02b1-c83d-11e7-e913-30bcc0bde538,1.59,8,18,10,15.9,2017-07-18 16:39:27
Hat & Tee Combo / S,11004,06e08a30-ee3d-11e7-f08c-35af89870c40,11.47,13,15,2,22.94,2017-07-18 16:39:28
Hat & Tee Combo / M,11005,06e08a30-ee3d-11e7-f08c-35af89d706a3,11.47,10,3,-7,-80.29,2017-07-18 16:39:28
Hat & Tee Combo / L,11006,06e08a30-ee3d-11e7-f08c-35af8a23107d,11.47,14,14,0,0.0,2017-07-18 16:39:29
Hat & Tee Combo / XL,11007,06e08a30-ee3d-11e7-f08c-35af8a88266a,11.47,4,5,1,11.47,2017-07-18 16:39:30
H Long Sleeve Victory Tee / M / Crimson,11010,06e08a30-ee3d-11e7-f08c-3730f79e03f5,10.3,4,6,2,20.6,2017-07-18 16:39:30
H Long Sleeve Victory Tee / L / Crimson,11011,06e08a30-ee3d-11e7-f08c-3730fc5e684a,10.3,2,2,0,0.0,2017-07-18 16:39:31
H Long Sleeve Victory Tee / XL / Crimson,11012,06e08a30-ee3d-11e7-f08c-3731008eec34,10.3,2,2,0,0.0,2017-07-18 16:39:31
H 1636 Hat / Crimson,11014,06e08a30-ee3d-11e7-ec24-397226765a8e,5.49,2,-2,-4,-21.96,2017-07-18 16:39:32
Youth Trucker Hat / Crimson,11015,06e08a30-ee3d-11e7-ec24-39724df54562,5.06,9,14,5,25.299999999999997,2017-07-18 16:39:33
Harvard Athletic Shield Hat / Crimson,11016,06e08a30-ee3d-11e7-ec24-397267b075b1,5.5,8,8,0,0.0,2017-07-18 16:39:33
Harvard Athletic Shield Hat / Black,11017,06e08a30-ee3d-11e7-ec24-397267fe427e,5.5,8,10,2,11.0,2017-07-18 16:39:34
Classic H Hat / Crimson,11018,06e08a30-ee3d-11e7-ec24-397292e2f5cd,5.27,18,12,-6,-31.619999999999997,2017-07-18 16:39:34
Classic H Hat / Ivory,11019,06e08a30-ee3d-11e7-ec24-397293281e10,5.27,18,16,-2,-10.54,2017-07-18 16:39:35
Harvard Est. 1636 Hat / Crimson,11094,06e08a30-ee3d-11e7-ec24-506f20813432,5.45,1,-2,-3,-16.35,2017-07-18 16:39:35
